OBJECTID,Request__,Status,Request_Type,Subrequest_Type,Additional_Subrequest_Type,Request_Origin,Contact_Type,Preferred_Language,State_Issue,Parent_Request,Address,City,Council_District,Latitude,Longitude,Date_Time_Opened,Date_Time_Closed,ZIP,GlobalID
44,693478,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-05-26 18:08:42,2021-05-26 18:08:42,,b87294f1-f6c3-4dd8-9417-7cc9b9b1ab51
45,703863,Closed,"Streets, Roads & Sidewalks",Graffiti,Sign,Mobile App,,,False,,"3427 Murphy Rd, Nashville, TN 37203, USA",NASHVILLE,24.0,36.13965093883256,-86.82155448943377,2021-06-09 18:29:37,2021-06-11 16:22:31,37203,43356f3f-e3c7-45e1-9f4f-d26dbaa9d5a3
46,646099,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-04-02 14:20:30,2021-04-02 14:20:30,,e0011122-e5ca-4283-a634-367f823d8f17
47,703684,Closed,"Trash, Recycling & Litter",Cart Service,Trash - Report a Damaged Cart,Phone,,,False,,"2907 Morningside Dr, Nashville, TN 37207, United States",NASHVILLE,5.0,36.2239372,-86.7577823,2021-06-09 16:27:53,2021-06-23 20:29:16,37207,40890a0e-6c39-430f-a168-7a95763f5e5f
48,708406,Closed,"Streets, Roads & Sidewalks",Request New Sign,Request New Sign,hubNashville Community,,,False,,"2371 Una Antioch Pike, Nashville, TN 37013, United States",ANTIOCH,28.0,36.07219072267692,-86.66434192209016,2021-06-16 00:10:20,2021-06-18 16:26:42,37013,142c9a0b-62aa-4525-82b0-3ebee5b91ac4
49,699346,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-03 20:58:01,2021-06-03 20:58:01,,fcf6167b-3c7b-4f47-9026-72e75060ba0f
50,702050,Closed,Public Safety,Improperly Parked Vehicles,Improperly Parked Vehicles,,,,,,"2957-2601 2 Rivers Ct, Nashville, TN 37214, United States",NASHVILLE,15.0,36.18901809390567,-86.68909599912378,2021-06-07 22:15:15,2021-06-08 01:01:56,37214,2468f72b-324b-48c5-914a-3543fc4fafc6
51,694417,Closed,Public Safety,Check the Well-Being of a Person,Check the Well-Being of a Person,Phone,,,False,,"331 Plus Park Blvd, Nashville, TN 37217, United States",NASHVILLE,16.0,36.13281,-86.72491,2021-05-27 18:45:08,2021-05-27 19:18:24,37217,159d6a7e-480b-44fe-8ce0-d3f45eae122e
52,699324,Closed,"Trash, Recycling & Litter",Missed Pickup - Trash Cart Service,Trash - Curbside/Alley Missed Pickup,Phone,,,False,,"4253 Hallmark Rd, Nashville, TN 37218, United States",NASHVILLE,1.0,36.219132,-86.85153439999999,2021-06-03 20:45:53,2021-06-05 09:33:59,37218,ff730b38-fa52-4afb-94c3-5cdb505b3456
53,700205,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-04 18:15:58,2021-06-04 18:15:58,,c697e541-7184-40b5-b368-e588bc785578
54,706789,Closed,Cars Parked On Lawn,Cars Parked on Lawn,Cars Parked on Lawn,hubNashville Community,,,False,,109 Grovedale Trace,ANTIOCH,8.0,36.0505257851296,-86.60636222722373,2021-06-14 15:44:24,2021-07-20 07:09:16,37013,03061a28-fa7c-4077-a3c1-c0a2399ecc56
